"id","title","description","url","thumbnail","year"
"106148","Spider-Verse Unlimited Infinity Comic (2022) #43","","http://marvel.com/comics/issue/106148/spider-verse_unlimited_infinity_comic_2022_43?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/f/10/6409eeaab8b2c"."jpg","2023"
"106147","Spider-Verse Unlimited Infinity Comic (2022) #42","","http://marvel.com/comics/issue/106147/spider-verse_unlimited_infinity_comic_2022_42?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/6/00/63f53eb2a3920"."jpg","2023"
"106146","Spider-Verse Unlimited Infinity Comic (2022) #41","","http://marvel.com/comics/issue/106146/spider-verse_unlimited_infinity_comic_2022_41?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/7/10/63e517a8919cf"."jpg","2023"
"99744","Spider-Man (2022) #2","The End of the Spider-Verse rages on! After the tragedy of the first issue, our Spider-heroes try to make a plan against Morlun. But Morlun isn’t their only problem…Shathra, is back and more powerful than the last time she nearly killed Peter and Ezekiel. Last time, Peter tricked Shathra, and she’s had plenty of time to plan his death and the death of ALL SPIDERS!","http://marvel.com/comics/issue/99744/spider-man_2022_2?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/6/e0/63658b3e8ce52"."jpg","2022"
"99743","Spider-Man (2022) #1","The End of the Spider-Verse is here! Morlun is back and he is not alone. Allied with one of the most powerful beings known to the Spider-Verse, the scariest Spider-Villain of all time is making his biggest play and no Spider is safe. Especially not the Chosen Spider himself, Peter Parker. With Peter working for Norman Osborn and using a glider…does he have it coming? Spidey’s 60th Anniversary is no joke as two of the most legendary Spider-Creators are working together on Spidey for the first time and you know it’s going to be one for the record books!","http://marvel.com/comics/issue/99743/spider-man_2022_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/c/10/633cefa06d1f4"."jpg","2022"
"98592","Spider-Verse Unlimited Infinity Comic (2022) #1","","http://marvel.com/comics/issue/98592/spider-verse_unlimited_infinity_comic_2022_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/9/d0/622928fda4ec8"."jpg","2022"
"82520","Spider-Man Noir (2020) #5","ONCE NOIR INTO THE BREACH! Peter Parker has been killed, resurrected and battled his way across the multiverse - but this globetrotting treasure hunt may be what finally does him in! Featuring familiar friendly faces and foes alike, this face-melting fifth issue is one you won't want to miss!","http://marvel.com/comics/issue/82520/spider-man_noir_2020_5?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/e/03/6019680908ce6"."jpg","2020"
"82519","Spider-Man Noir (2020) #4","The drums of war continue to beat SPIDER-MAN NOIR down as he finds himself buried in the deserts of Babylon! Will the sands drown our hero, or will he withstand the hammering and save the day?","http://marvel.com/comics/issue/82519/spider-man_noir_2020_4?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/6/00/5f6510b2c6d52"."jpg","2020"
"82518","Spider-Man Noir (2020) #3","THE ADVENTURE CONTINUES! A murder investigation may have led Spider-Man a thousand miles from home, but DANGER is close behind! And as the specter of war looms in Europe, a dangerous operative shrouded in mystery has designs of his own, with ELECTRO leading the charge!","http://marvel.com/comics/issue/82518/spider-man_noir_2020_3?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/9/30/5f3d36a4ed801"."jpg","2020"
"82517","Spider-Man Noir (2020) #2","DATELINE 1933! After months of fruitless efforts, the Nazis have discovered an ancient evil in one of their dig sites on the other side of the world. After a friend of a friend is murdered, SCRAPPY YOUNG REPORTER and rookie gumshoe PETER PARKER finds himself torn from his borough and thrust into the action! Unsure of who he can trust, our hero quickly finds himself on A GLOBE-TROTTING ADVENTURE, encountering friend and foe alike - some of whom may even bear a passing resemblances to familiar faces from the Marvel Universe!","http://marvel.com/comics/issue/82517/spider-man_noir_2020_2?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787","http://i.annihil.us/u/prod/marvel/i/mg/7/10/5e7e69f3d6044"."jpg","2020"
